Station_Name,Latitude_DD,Longitude_DD
AC0005,39.3994469680,-74.3849005457
AC0009,39.3857304275,-74.4270130135
AC0013,39.3772378350,-74.4480439029
AC0015,39.3742726580,-74.4581999128
AC0019,39.3612713278,-74.4646680091
AC0020,39.3533432121,-74.4566722308
AC0022,39.3647369692,-74.4677539877
AC0050,39.3110752972,-74.5927423071
AC0050N1,39.3112159715,-74.5925376811
AC0050S1,39.3109052059,-74.5929680296
AC0062,39.3146709188,-74.5314329221
AC0065,39.3760299697,-74.4282318536
AC0071,39.3754599210,-74.4152078762
AC0072,39.3853052725,-74.4249978528
AC0080,39.3074824372,-74.5991634500
AC0103S,39.3105555919,-74.5928359392
AC1000,39.4114907609,-74.3552985628
AC1001,39.4182883984,-74.3485257241
AC1002S,39.4069030000,-74.3601460000
AC1003,39.3804348471,-74.3932847271
AC1004,39.3978568539,-74.3699424246
AC1007,39.3729927027,-74.4040271137
AC1010S,39.3785511633,-74.3958879566
AC1012,39.3635246753,-74.4092460815
AC1012N1,39.3637936477,-74.4088451828
AC1012S1,39.3632379495,-74.4096241082
AC1013,39.3618950000,-74.4116350000
AC1013N1,39.3622510000,-74.4111960000
AC1013S1,39.3614990000,-74.4122900000
AC1015,39.3574183097,-74.4201620126
AC1015N1,39.3575750314,-74.4196730743
AC1015S1,39.3572383761,-74.4206370071
AC1016,39.3534885419,-74.4331704463
AC1016N1,39.3536709909,-74.4327027039
AC1017,39.3494279875,-74.4463456199
AC1017N1,39.3496120590,-74.4458775395
AC1017S1,39.3492541823,-74.4468235241
AC1018,39.3524705930,-74.4377601325
AC1018N1,39.3525567486,-74.4372234677
AC1018N2,39.3526829216,-74.4367350246
AC1018S1,39.3522492376,-74.4381865593
AC1018S2,39.3521169697,-74.4387074060
AC1019S,39.3502971338,-74.4441244529
AC1024,39.3408799444,-74.4664701163
AC1029S,39.3265834731,-74.4970211503
AC1029SN1,39.3267777708,-74.4965556085
AC1029SN2,39.3270187891,-74.4961104413
AC1035S,39.4121887795,-74.3543784411
AC1036,39.4085429980,-74.3586034368
AC1038,39.3262750509,-74.4977219481
AC1039,39.4023224645,-74.3647530195
AC1041S,39.3973272486,-74.3706442138
AC1042S,39.3930360000,-74.3764670000
AC1044,39.3031202522,-74.5342873099
AC1046S,39.3412255180,-74.4656917746
AC1046SN1,39.3414460408,-74.4652369764
AC1046SS1,39.3410801192,-74.4661792093
AC1046SS2,39.3408400076,-74.4666160826
AC1050S,39.3285573692,-74.4933741812
AC1050SN1,39.3288296474,-74.4929572955
AC1050SS2,39.3280631910,-74.4942076996
AC1050SS3,39.3277984711,-74.4946418915
AC1056S,39.3134660000,-74.5202490000
AC1060S,39.3058830000,-74.5309290000
AC1061S,39.3041822964,-74.5331354887
AC1062S,39.3751485060,-74.4008184461
AC1067,39.4005073605,-74.3666634957
AC1070,39.3554745965,-74.4269233806
AC1070N1,39.3556716168,-74.4264471476
AC1070S1,39.3552854846,-74.4273578960
AC1071,39.3605040000,-74.4140890000
AC1071N1,39.3608810000,-74.4137770000
AC1071S1,39.3604520000,-74.4146610000
AC1072,39.3591404117,-74.4172512894
AC1072N1,39.3593264192,-74.4167799303
AC1072S1,39.3588916384,-74.4176720287
AC1073,39.3565063266,-74.4227435068
AC1073N1,39.3566587749,-74.4222520082
AC1073S1,39.3563323831,-74.4232334209
AC1073S2,39.3561476321,-74.4236941869
AC1074,39.3549078007,-74.4282571135
AC1074N1,39.3551187946,-74.4278198204
AC1074S1,39.3548400513,-74.4286588215
AC1075,39.3530789645,-74.4349704407
AC1075N1,39.3530989174,-74.4344446952
AC1075S1,39.3530594617,-74.4354938701
AC1075S2,39.3529593598,-74.4359977918
AC1080,39.3466127412,-74.4533502583
AC1081,39.3515154234,-74.4403548234
AC1081N1,39.3516559881,-74.4398526138
AC1081S1,39.3513765852,-74.4408301312
AC1082,39.3539200931,-74.4321074770
AC1082N1,39.3541088973,-74.4316079634
AC1083,39.3560087608,-74.4249815949
AC1083S1,39.3559371937,-74.4254963523
AC1084,39.3568375192,-74.4214182749
AC1084N1,39.3570740019,-74.4209864623
AC1084S1,39.3567433361,-74.4219328496
AC1085,39.3438697006,-74.4596240949
AC1085N1,39.3440374913,-74.4591738445
AC1085N2,39.3442759999,-74.4587085931
AC1085S1,39.3436746528,-74.4601004950
AC1085S2,39.3434604116,-74.4605476445
AC1086,39.3075493207,-74.5287636570
AC1087,39.3151885461,-74.5175992810
AC1088,39.3188818656,-74.5106337383
AC1088N1,39.3190778781,-74.5100791814
AC1088S1,39.3187296089,-74.5111496097
AC1089,39.3340560031,-74.4817860225
AC1089N1,39.3342420243,-74.4813213940
AC1089N2,39.3344420684,-74.4808437776
