Station_Name,Beach_Name,Municipality,County_Name,Incident_Start_Date,Incident_End_Date,Location_Type_Name,Beach_Act_Type_Name,Beach_Reason_Type_Name,Beach_Reason_Type_Desc,Beach_Source_Type_Name,Beach_Source_Type_Desc,Beach_Indicator_Type_Name,Beach_Indicator_Type_Desc,Incident_Additional_Comments
CC1176,Philadelphia,Cape May City,Cape May,06/01/2016,06/02/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1176 : `120`}
CC1134,Grant,Cape May City,Cape May,06/16/2015,06/17/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1134 : `120`}
CC1135,Broadway,Cape May City,Cape May,07/05/2005,07/06/2005,Ocean,CLOSURE,CHEM_OIL,Cape May City Plane Crash - Broadway,OTHER,,PREEMPT,,
CC1136,2nd,Cape May City,Cape May,07/05/2005,07/06/2005,Ocean,CLOSURE,CHEM_OIL,Cape May City Plane Crash - 2nd Ave.,OTHER,,PREEMPT,,
CC0099,Corinthian YC,Cape May City,Cape May,06/28/2010,06/29/2010,Bay,CLOSURE,SEWAGE,,SEWER_LINE,,PREEMPT,,
CC1175,Lavendar,Wildwood Crest Borough,Cape May,06/01/2016,06/02/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1175 : `120`}
CC1123,Forgetmenot,Wildwood Crest Borough,Cape May,07/22/2014,07/23/2014,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `112`{CC1123 : `112`}
CC1119,Maple Ave,Wildwood City,Cape May,06/17/2014,06/18/2014,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1119 : `120`}
CC1119,Maple Ave,Wildwood City,Cape May,06/28/2016,06/29/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1119 : `120`}
CC1121,Montgomery,Wildwood City,Cape May,08/23/2016,08/24/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1121 : `120`}
CC1122,Bennett,Wildwood City,Cape May,06/01/2016,06/02/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1122 : `120`}
CC1122,Bennett,Wildwood City,Cape May,07/26/2016,07/27/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `118`{CC1122 : `118`}
CC1122,Bennett,Wildwood City,Cape May,08/23/2016,08/24/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1122 : `120`}
CC1122,Bennett,Wildwood City,Cape May,08/30/2016,08/31/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1122 : `120` CC1122N1 : `` CC1122S1 : `` CC1122N2 : `` CC1122S2 : `` CC1122N3 : `` CC1122S3 : ``}
CC1116,2nd & JFK,North Wildwood City,Cape May,09/01/2015,09/02/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1116 : `120`}
CC1116,2nd & JFK,North Wildwood City,Cape May,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1116 : `120`}
CC1211,18th Ave,North Wildwood City,Cape May,07/28/2015,07/29/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1211 : `120`}
CC1180,24th St,North Wildwood City,Cape May,07/28/2015,07/29/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{CC1180 : `120`}
CC1362S,19th Ave,North Wildwood City,Cape May,08/08/2013,08/09/2013,Ocean,CLOSURE,SEWAGE,,SEWER_LINE,,PREEMPT,,
AC0050,New Jersey Ave,Somers Point City,Atlantic,07/14/2010,07/15/2010,Bay,CLOSURE,ELEV_BACT,,STORM,,ENTERO,,
AC0050,New Jersey Ave,Somers Point City,Atlantic,07/15/2010,07/16/2010,Bay,CLOSURE,ELEV_BACT,,STORM,,ENTERO,,
AC0050,New Jersey Ave,Somers Point City,Atlantic,06/12/2013,06/13/2013,Bay,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,
AC0050,New Jersey Ave,Somers Point City,Atlantic,07/28/2015,07/29/2015,Bay,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `142`{AC0050 : `142`}
AC0050,New Jersey Ave,Somers Point City,Atlantic,09/01/2015,09/02/2015,Bay,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `160`{AC0050 : `160`}
AC0050,New Jersey Ave,Somers Point City,Atlantic,07/06/2016,07/07/2016,Bay,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `300`{AC0050 : `300`}
AC0050,New Jersey Ave,Somers Point City,Atlantic,07/07/2016,07/08/2016,Bay,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,
AC0050,New Jersey Ave,Somers Point City,Atlantic,08/30/2016,08/31/2016,Bay,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `130`{AC0050 : `130`}
AC0050,New Jersey Ave,Somers Point City,Atlantic,07/25/2017,07/26/2017,Bay,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{AC0050 : `120`}
AC0050,New Jersey Ave,Somers Point City,Atlantic,07/26/2017,07/27/2017,Bay,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `125`{AC0050 : `110` AC0050N1 : `125` AC0050S1 : `110`}
AC0080,Rt 52,Somers Point City,Atlantic,08/30/2006,08/31/2006,Bay,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,
AC1088,Washington,Margate City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `145`{AC1088 : `145`}
AC1046S,Austin Ave,Ventnor City,Atlantic,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `305`{AC1046S : `305`}
AC1046S,Austin Ave,Ventnor City,Atlantic,07/26/2017,07/27/2017,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `160`{AC1046S : `130` AC1046SN1 : `160` AC1046SS1 : `130` AC1046SS2 : `` AC1046SS3 : ``}
AC1097,Dorset,Ventnor City,Atlantic,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `360`{AC1097 : `360`}
AC1097,Dorset,Ventnor City,Atlantic,07/26/2017,07/27/2017,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `130`{AC1097 : `125` AC1097N1 : `130` AC1097S1 : `120` AC1097N2 : `` AC1097S2 : `` AC1097N3 : `` AC1097S3 : ``}
AC1089,New Haven,Ventnor City,Atlantic,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `382`{AC1089 : `382`}
AC1089,New Haven,Ventnor City,Atlantic,07/26/2017,07/27/2017,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `125`{AC1089 : `105` AC1089N1 : `125` AC1089S1 : `115` AC1089N2 : `` AC1089S2 : `` AC1089N3 : `` AC1089S3 : ``}
AC1096,Washington,Ventnor City,Atlantic,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `170`{AC1096 : `170`}
AC1096,Washington,Ventnor City,Atlantic,07/26/2017,07/27/2017,Ocean,CLOSURE,POLICY,As a safety precaution this beach was closed due to the closures of surrounding Ventnor beaches.,OTHER,Administrative,PREEMPT,,
AC1018,Georgia,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `300`{AC1018 : `300`}
AC1018,Georgia,Atlantic City,Atlantic,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `125`{AC1018 : `125`}
AC1018,Georgia,Atlantic City,Atlantic,07/26/2017,07/27/2017,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `220`{AC1018 : `220` AC1018N1 : `175` AC1018S1 : `178` AC1018N2 : `` AC1018S2 : ``}
AC1012,New Hampshire,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `115`{AC1012 : `115`}
AC1072,States,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `300`{AC1072 : `300`}
AC1015,Pennsylvania,Atlantic City,Atlantic,07/28/2015,07/29/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `160`{AC1015 : `160`}
AC1015,Pennsylvania,Atlantic City,Atlantic,07/29/2015,07/30/2015,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `185`{AC1015 : `185` AC1015N1 : `N/A` AC1015S1 : `N/A`}
AC1015,Pennsylvania,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `300`{AC1015 : `300`}
AC1015,Pennsylvania,Atlantic City,Atlantic,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `440`{AC1015 : `440`}
AC1015,Pennsylvania,Atlantic City,Atlantic,07/26/2017,07/27/2017,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `125`{AC1015 : `125` AC1015N1 : `5` AC1015S1 : `115`}
