CLOSURE,CONTAM_ADV,Station_Name,Latitude_DD,Longitude_DD,Beach_Name,Municipality,County_Name,Tot_actions
5.0,5.0,AC0050,39.3110752972,-74.5927423071,New Jersey Ave,Somers Point City,Atlantic,10.0
1.0,,AC0080,39.3074824372,-74.59916345,Rt 52,Somers Point City,Atlantic,
,1.0,AC1012,39.3635246753,-74.4092460815,New Hampshire,Atlantic City,Atlantic,
,2.0,AC1013,39.361895,-74.411635,Rhode Island Ave,Atlantic City,Atlantic,
2.0,3.0,AC1015,39.3574183097,-74.4201620126,Pennsylvania,Atlantic City,Atlantic,5.0
,1.0,AC1016,39.3534885419,-74.4331704463,Arkansas,Atlantic City,Atlantic,
,1.0,AC1017,39.3494279875,-74.4463456199,Chelsea,Atlantic City,Atlantic,
1.0,2.0,AC1018,39.352470593,-74.4377601325,Georgia,Atlantic City,Atlantic,3.0
1.0,1.0,AC1046S,39.341225518,-74.4656917746,Austin Ave,Ventnor City,Atlantic,2.0
1.0,2.0,AC1070,39.3554745965,-74.4269233806,Kentucky,Atlantic City,Atlantic,3.0
,1.0,AC1071,39.360504,-74.414089,Connecticut Ave,Atlantic City,Atlantic,
,1.0,AC1072,39.3591404117,-74.4172512894,States,Atlantic City,Atlantic,
1.0,2.0,AC1073,39.3565063266,-74.4227435068,South Carolina,Atlantic City,Atlantic,3.0
,1.0,AC1074,39.3549078007,-74.4282571135,Illinois,Atlantic City,Atlantic,
1.0,2.0,AC1075,39.3530789645,-74.4349704407,Missouri,Atlantic City,Atlantic,3.0
,2.0,AC1081,39.3515154234,-74.4403548234,Texas,Atlantic City,Atlantic,
,1.0,AC1082,39.3539200931,-74.432107477,Michigan,Atlantic City,Atlantic,
,2.0,AC1083,39.3560087608,-74.4249815949,St. James,Atlantic City,Atlantic,
2.0,3.0,AC1084,39.3568375192,-74.4214182749,North Carolina,Atlantic City,Atlantic,5.0
1.0,1.0,AC1085,39.3438697006,-74.4596240949,Bartram,Atlantic City,Atlantic,2.0
,1.0,AC1088,39.3188818656,-74.5106337383,Washington,Margate City,Atlantic,
1.0,1.0,AC1089,39.3340560031,-74.4817860225,New Haven,Ventnor City,Atlantic,2.0
,1.0,AC1091,39.3926400227,-74.3768924505,26th St South,Brigantine City,Atlantic,
1.0,1.0,AC1096,39.330579934,-74.4891788525,Washington,Ventnor City,Atlantic,2.0
1.0,1.0,AC1097,39.3371354465,-74.474619754,Dorset,Ventnor City,Atlantic,2.0
,2.0,AC1195,39.3506881638,-74.4429461658,Iowa Ave,Atlantic City,Atlantic,
1.0,1.0,AC1206S,39.342546,-74.462406,Montgomery Ave,Atlantic City,Atlantic,2.0
1.0,1.0,AC1229,39.3454232676,-74.4561135285,Annapolis Ave,Atlantic City,Atlantic,2.0
1.0,,CC0099,38.9466108025,-74.8948600678,Corinthian YC,Cape May City,Cape May,
1.0,,CC1004S,39.2805313301,-74.5581117938,St. Charles,Ocean City,Cape May,
1.0,,CC1007S,39.2754496772,-74.5659506458,7th St,Ocean City,Cape May,
1.0,,CC1010S,39.2732965053,-74.5721734371,10th St,Ocean City,Cape May,
1.0,,CC1094S,38.990721,-74.798141,21st Ave,North Wildwood City,Cape May,
,1.0,CC1101,39.2890008504,-74.5514799136,Surf,Ocean City,Cape May,
4.0,1.0,CC1103,39.2742697113,-74.5691610101,9th St,Ocean City,Cape May,5.0
